"filename", "language", "PHP", "JavaScript", "Vue.js", "comment", "blank", "total"
"c:\xampp\htdocs\app\app\Http\Controllers\AuthController.php", "PHP", 71, 0, 0, 4, 11, 86
"c:\xampp\htdocs\app\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", 14, 0, 0, 20, 7, 41
"c:\xampp\htdocs\app\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 8, 0, 0, 10, 5, 23
"c:\xampp\htdocs\app\app\Http\Controllers\Auth\LoginController.php", "PHP", 14, 0, 0, 20, 7, 41
"c:\xampp\htdocs\app\app\Http\Controllers\Auth\RegisterController.php", "PHP", 33, 0, 0, 32, 9, 74
"c:\xampp\htdocs\app\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 10, 0, 0, 15, 6, 31
"c:\xampp\htdocs\app\app\Http\Controllers\Auth\VerificationController.php", "PHP", 16, 0, 0, 20, 7, 43
"c:\xampp\htdocs\app\app\Http\Controllers\BlogController.php", "PHP", 139, 0, 0, 52, 38, 229
"c:\xampp\htdocs\app\app\Http\Controllers\CollectionController.php", "PHP", 61, 0, 0, 10, 14, 85
"c:\xampp\htdocs\app\app\Http\Controllers\ContactsController.php", "PHP", 46, 0, 0, 0, 26, 72
"c:\xampp\htdocs\app\app\Http\Controllers\Controller.php", "PHP", 10, 0, 0, 0, 4, 14
"c:\xampp\htdocs\app\app\Http\Controllers\FeedbackController.php", "PHP", 38, 0, 0, 0, 16, 54
"c:\xampp\htdocs\app\app\Http\Controllers\HomeController.php", "PHP", 18, 0, 0, 10, 5, 33
"c:\xampp\htdocs\app\app\Http\Controllers\OrderController.php", "PHP", 143, 0, 0, 27, 44, 214
"c:\xampp\htdocs\app\app\Http\Controllers\PortfolioController.php", "PHP", 197, 0, 0, 39, 49, 285
"c:\xampp\htdocs\app\app\Http\Controllers\PurchasesController.php", "PHP", 57, 0, 0, 10, 20, 87
"c:\xampp\htdocs\app\app\Http\Controllers\QnAController.php", "PHP", 79, 0, 0, 5, 44, 128
"c:\xampp\htdocs\app\app\Http\Controllers\ShopController.php", "PHP", 116, 0, 0, 9, 30, 155
"c:\xampp\htdocs\app\app\Http\Controllers\SpaController.php", "PHP", 10, 0, 0, 0, 4, 14
"c:\xampp\htdocs\app\app\Http\Controllers\StripeController.php", "PHP", 160, 0, 0, 11, 37, 208
"c:\xampp\htdocs\app\app\Http\Controllers\UserController.php", "PHP", 123, 0, 0, 1, 52, 176
"c:\xampp\htdocs\app\app\Http\Controllers\UtilityController.php", "PHP", 125, 0, 0, 3, 55, 183
"c:\xampp\htdocs\app\resources\js\admin\AdminStore.vue", "Vue.js", 0, 0, -90, -376, -9, -475
"c:\xampp\htdocs\app\resources\js\admin\Admin_FAQ.vue", "Vue.js", 0, 0, -45, 0, -2, -47
"c:\xampp\htdocs\app\resources\js\admin\Admin_blog.vue", "Vue.js", 0, 0, -133, -445, -11, -589
"c:\xampp\htdocs\app\resources\js\admin\Admin_collections.vue", "Vue.js", 0, 0, -111, -351, -15, -477
"c:\xampp\htdocs\app\resources\js\admin\Admin_feedback.vue", "Vue.js", 0, 0, -128, -2, -13, -143
"c:\xampp\htdocs\app\resources\js\admin\Admin_home.vue", "Vue.js", 0, 0, -153, -3, -12, -168
"c:\xampp\htdocs\app\resources\js\admin\Admin_paintings.vue", "Vue.js", 0, 0, -86, -313, -8, -407
"c:\xampp\htdocs\app\resources\js\admin\Admin_portfolio.vue", "Vue.js", 0, 0, -321, -4, -35, -360
